Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date
Drunk Elephant,Facial Oil,3194.04,4.2,26,Dry,36-45,Salicylic Acid,Retinol,Hyperpigmentation,2024-12-10
Estee Lauder,Face Mask,1468.91,3.7,77,Combination,56+,Salicylic Acid,Azelaic Acid,Acne,2024-11-10
Skinceuticals,Facial Oil,3110.18,5.0,49,Dry,36-45,Vitamin C,Azelaic Acid,Dryness,2023-12-07
Aveeno,Cleanser,1068.32,3.7,36,Oily,26-35,Zinc Oxide,Azelaic Acid,Anti-aging,2025-05-02
Fenty Beauty,Facial Oil,1588.33,4.6,253,Dry,18-25,Benzoyl Peroxide,Retinol,Dark spots,2023-10-08
Kiehl's,Face Mask,1128.98,5.0,7,Normal,36-45,Benzoyl Peroxide,Bakuchiol,Sensitivity,2024-02-02
L'Oreal,Cleanser,1037.27,4.0,125,Oily,46-55,Hyaluronic Acid,Bakuchiol,Hyperpigmentation,2024-01-24
Clinique,Toner,1996.47,4.5,38,Combination,36-45,Niacinamide,Glycolic Acid,Dullness,2024-06-21
CeraVe,Sunscreen,1483.22,3.8,499,Combination,26-35,Peptides,Squalane,Dark spots,2023-10-23
CeraVe,Serum,2319.4,4.6,179,Acne-prone,18-25,Lactic Acid,Retinol,Fine lines,2024-10-27
Youth to the People,Moisturizer,1770.8,5.0,34,Normal,56+,Niacinamide,Tea Tree Oil,Dullness,2024-01-01
Neutrogena,Eye Cream,1772.86,5.0,31,Sensitive,26-35,Salicylic Acid,Azelaic Acid,Dark spots,2025-06-14
Kiehl's,Cleanser,1044.07,4.9,4,Acne-prone,56+,Squalane,Ceramides,Dark spots,2023-10-05
Olay,Sunscreen,1273.54,4.1,254,Acne-prone,56+,Alpha Arbutin,Azelaic Acid,Acne,2025-08-22
Rare Beauty,Serum,2189.79,4.2,83,Acne-prone,18-25,Zinc Oxide,Benzoyl Peroxide,Sensitivity,2024-01-16
L'Oreal,Sunscreen,1589.94,4.2,52,Normal,56+,Niacinamide,Peptides,Fine lines,2025-02-02
Glossier,Night Cream,1954.27,4.3,114,Combination,36-45,Niacinamide,Glycolic Acid,Fine lines,2025-05-29
Glossier,Facial Oil,2027.07,5.0,27,Normal,26-35,Kojic Acid,Titanium Dioxide,Redness,2025-09-06
Glossier,Moisturizer,1923.39,5.0,104,Sensitive,26-35,Peptides,Kojic Acid,Anti-aging,2024-06-28
Skinceuticals,Cleanser,966.73,2.4,1433,Oily,36-45,Bakuchiol,Vitamin C,Anti-aging,2024-07-07
The Ordinary,Sunscreen,915.97,2.9,22,Acne-prone,36-45,Niacinamide,Lactic Acid,Pores,2024-10-17
Paula's Choice,Exfoliant,1890.35,4.2,34,Combination,26-35,Vitamin C,Niacinamide,Uneven texture,2024-01-28
Skinceuticals,Face Mask,767.6,4.8,136,Combination,46-55,Ceramides,Peptides,Dryness,2024-11-09
Olay,Toner,697.15,3.1,69,Normal,36-45,Benzoyl Peroxide,Salicylic Acid,Redness,2025-05-04
Estee Lauder,Toner,1750.15,4.4,3,Acne-prone,26-35,Ceramides,Tea Tree Oil,Dryness,2023-10-09
Paula's Choice,Moisturizer,1828.89,4.7,16,Sensitive,18-25,Titanium Dioxide,Vitamin C,Fine lines,2025-04-15
The Ordinary,Cleanser,617.3,3.8,189,Acne-prone,46-55,Hyaluronic Acid,Titanium Dioxide,Redness,2024-11-27
Fresh,Facial Oil,1540.32,4.6,226,Sensitive,46-55,Titanium Dioxide,Peptides,Dryness,2025-02-25
Youth to the People,Night Cream,2741.82,4.7,943,Normal,26-35,Tea Tree Oil,Alpha Arbutin,Dryness,2023-12-03
The Ordinary,Face Mask,587.22,4.1,17,Combination,26-35,Hyaluronic Acid,Tea Tree Oil,Fine lines,2024-04-04
Rare Beauty,Serum,2294.28,4.3,86,Normal,56+,Ceramides,Tea Tree Oil,Dullness,2025-01-05
The Ordinary,Face Mask,799.7,4.2,15,Normal,46-55,Ceramides,Hyaluronic Acid,Anti-aging,2024-11-23
Origins,Sunscreen,790.03,3.3,25,Acne-prone,26-35,Zinc Oxide,Niacinamide,Dullness,2025-04-15
Paula's Choice,Eye Cream,1485.45,3.8,68,Acne-prone,18-25,Kojic Acid,Tea Tree Oil,Anti-aging,2024-06-21
Fenty Beauty,Eye Cream,2696.96,5.0,7,Normal,46-55,Zinc Oxide,Benzoyl Peroxide,Pores,2024-01-08
Glossier,Serum,2786.88,4.5,34,Oily,56+,Vitamin C,Squalane,Dryness,2024-09-26
Fresh,Cleanser,1173.08,4.2,97,Oily,56+,Benzoyl Peroxide,Tea Tree Oil,Uneven texture,2025-08-26
Glossier,Moisturizer,1567.48,5.0,238,Combination,46-55,Jojoba Oil,Hyaluronic Acid,Uneven texture,2024-11-21
Fresh,Night Cream,2045.47,3.0,83,Combination,46-55,Peptides,Benzoyl Peroxide,Anti-aging,2025-09-14
L'Oreal,Sunscreen,1209.85,4.2,8,Acne-prone,46-55,Lactic Acid,Salicylic Acid,Anti-aging,2025-06-18
Kiehl's,Exfoliant,3283.91,3.8,135,Combination,18-25,Niacinamide,Zinc Oxide,Oiliness,2024-10-14
Estee Lauder,Exfoliant,3311.89,5.0,136,Dry,56+,Squalane,Salicylic Acid,Pores,2025-02-03
Skinceuticals,Face Mask,1227.01,2.5,191,Combination,46-55,Kojic Acid,Lactic Acid,Dullness,2025-03-27
CeraVe,Serum,2877.55,4.7,607,Acne-prone,18-25,Kojic Acid,Tea Tree Oil,Oiliness,2024-10-30
Fenty Beauty,Sunscreen,1499.15,4.2,20,Normal,26-35,Glycolic Acid,Salicylic Acid,Oiliness,2024-11-11
Drunk Elephant,Cleanser,1513.04,3.2,894,Dry,56+,Lactic Acid,Tea Tree Oil,Dryness,2024-08-16
Origins,Facial Oil,1561.16,4.3,24,Acne-prone,26-35,Hyaluronic Acid,Glycolic Acid,Oiliness,2025-08-09
Kiehl's,Cleanser,1838.18,4.8,69,Combination,36-45,Retinol,Alpha Arbutin,Hyperpigmentation,2023-12-07
Origins,Eye Cream,3178.44,5.0,121,Dry,46-55,Bakuchiol,Niacinamide,Pores,2024-11-22
Olay,Sunscreen,1129.89,2.9,119,Oily,36-45,Alpha Arbutin,Vitamin C,Dullness,2025-02-06
Clinique,Eye Cream,2757.44,5.0,179,Normal,26-35,Jojoba Oil,Glycolic Acid,Dark spots,2024-04-16
Clinique,Toner,1308.65,3.6,21,Oily,36-45,Glycolic Acid,Niacinamide,Dryness,2025-06-17
Fresh,Toner,1257.17,4.3,80,Combination,46-55,Peptides,Alpha Arbutin,Oiliness,2024-01-23
La Roche-Posay,Toner,945.78,4.5,207,Combination,46-55,Azelaic Acid,Zinc Oxide,Acne,2024-05-13
Paula's Choice,Face Mask,959.9,3.3,33,Acne-prone,56+,Tea Tree Oil,Zinc Oxide,Oiliness,2025-06-11
Olay,Eye Cream,1911.19,4.8,35,Normal,36-45,Zinc Oxide,Peptides,Dark spots,2025-06-28
Estee Lauder,Facial Oil,1801.92,3.8,934,Dry,26-35,Bakuchiol,Kojic Acid,Redness,2025-05-06
Tatcha,Toner,1014.18,3.0,70,Oily,18-25,Zinc Oxide,Benzoyl Peroxide,Hyperpigmentation,2023-10-25
Neutrogena,Facial Oil,1910.24,5.0,52,Dry,56+,Peptides,Alpha Arbutin,Dullness,2025-08-07
Rare Beauty,Night Cream,2277.62,3.7,104,Dry,56+,Bakuchiol,Titanium Dioxide,Dullness,2025-06-26
The Ordinary,Toner,669.67,4.3,146,Sensitive,56+,Salicylic Acid,Vitamin C,Oiliness,2024-08-28
L'Oreal,Toner,1243.98,4.6,4,Combination,26-35,Alpha Arbutin,Lactic Acid,Dark spots,2025-01-28
Youth to the People,Moisturizer,1514.77,3.3,325,Combination,18-25,Tea Tree Oil,Kojic Acid,Dullness,2024-07-07
CeraVe,Eye Cream,2357.31,4.4,42,Acne-prone,26-35,Lactic Acid,Ceramides,Dullness,2024-11-23
Aveeno,Serum,1382.65,4.0,213,Dry,56+,Lactic Acid,Titanium Dioxide,Sensitivity,2024-10-14
Neutrogena,Sunscreen,1257.75,3.0,104,Normal,18-25,Jojoba Oil,Vitamin C,Sensitivity,2023-11-28
Neutrogena,Night Cream,1826.72,4.4,47,Normal,46-55,Alpha Arbutin,Glycolic Acid,Oiliness,2023-11-05
Fenty Beauty,Face Mask,845.64,3.2,43,Normal,26-35,Bakuchiol,Vitamin C,Fine lines,2023-10-27
Clinique,Toner,2087.93,4.4,15,Oily,26-35,Niacinamide,Bakuchiol,Sensitivity,2025-08-24
Origins,Facial Oil,2479.94,3.9,618,Acne-prone,18-25,Tea Tree Oil,Hyaluronic Acid,Pores,2025-05-28
Youth to the People,Eye Cream,1270.27,3.2,93,Acne-prone,56+,Tea Tree Oil,Squalane,Dryness,2024-07-28
Aveeno,Eye Cream,2051.47,4.4,58,Acne-prone,26-35,Tea Tree Oil,Retinol,Pores,2024-01-24
Origins,Eye Cream,2482.7,5.0,144,Sensitive,36-45,Niacinamide,Azelaic Acid,Redness,2024-06-20
Neutrogena,Face Mask,1031.25,4.3,25,Normal,26-35,Ceramides,Retinol,Oiliness,2024-02-12
La Roche-Posay,Eye Cream,2224.11,3.3,61,Normal,36-45,Titanium Dioxide,Hyaluronic Acid,Hyperpigmentation,2025-01-22
CeraVe,Face Mask,519.39,3.1,4,Oily,36-45,Bakuchiol,Titanium Dioxide,Dark spots,2023-10-29
Fenty Beauty,Toner,1306.56,5.0,21,Acne-prone,46-55,Peptides,Kojic Acid,Uneven texture,2024-06-07
Rare Beauty,Face Mask,612.96,3.6,301,Oily,18-25,Glycolic Acid,Benzoyl Peroxide,Acne,2024-07-20
The Ordinary,Toner,1080.88,2.8,7,Combination,56+,Squalane,Niacinamide,Hyperpigmentation,2024-12-30
Fresh,Toner,689.41,3.0,218,Combination,18-25,Salicylic Acid,Jojoba Oil,Pores,2025-04-17
Rare Beauty,Eye Cream,2888.79,5.0,29,Normal,56+,Lactic Acid,Salicylic Acid,Hyperpigmentation,2025-06-11
Aveeno,Eye Cream,2750.06,5.0,19,Acne-prone,26-35,Benzoyl Peroxide,Ceramides,Dryness,2025-08-04
Youth to the People,Facial Oil,1868.86,5.0,134,Normal,18-25,Vitamin C,Zinc Oxide,Dryness,2023-10-29
Tatcha,Exfoliant,2833.4,5.0,36,Dry,36-45,Retinol,Hyaluronic Acid,Dark spots,2024-02-29
Estee Lauder,Night Cream,4120.19,5.0,979,Oily,56+,Kojic Acid,Niacinamide,Sensitivity,2025-09-07
Youth to the People,Night Cream,3271.88,5.0,127,Dry,26-35,Lactic Acid,Kojic Acid,Fine lines,2024-11-03
Fresh,Toner,647.39,4.7,112,Normal,36-45,Alpha Arbutin,Vitamin C,Sensitivity,2025-06-13
Paula's Choice,Toner,673.28,5.0,90,Acne-prone,26-35,Jojoba Oil,Salicylic Acid,Redness,2025-06-06
The Ordinary,Cleanser,1172.55,3.9,14,Combination,56+,Vitamin C,Zinc Oxide,Acne,2024-08-25
Paula's Choice,Face Mask,932.29,3.9,403,Dry,56+,Ceramides,Squalane,Fine lines,2025-02-03
L'Oreal,Face Mask,1043.36,5.0,3,Normal,18-25,Ceramides,Alpha Arbutin,Anti-aging,2024-06-25
L'Oreal,Eye Cream,1941.36,4.7,119,Sensitive,26-35,Jojoba Oil,Zinc Oxide,Acne,2025-06-30
Clinique,Night Cream,2981.85,4.7,8,Acne-prone,18-25,Benzoyl Peroxide,Hyaluronic Acid,Anti-aging,2023-11-09
Paula's Choice,Eye Cream,3231.37,5.0,185,Normal,26-35,Hyaluronic Acid,Ceramides,Dark spots,2025-03-08
Fresh,Exfoliant,1116.38,3.6,118,Dry,26-35,Zinc Oxide,Titanium Dioxide,Dark spots,2024-03-09
Skinceuticals,Moisturizer,2091.75,5.0,20,Sensitive,46-55,Benzoyl Peroxide,Retinol,Anti-aging,2024-07-30
Clinique,Toner,1054.23,3.5,31,Sensitive,56+,Glycolic Acid,Bakuchiol,Dullness,2023-11-02
Olay,Serum,1683.26,5.0,77,Normal,36-45,Vitamin C,Ceramides,Acne,2024-03-25
Clinique,Cleanser,1484.98,4.1,31,Sensitive,26-35,Ceramides,Retinol,Acne,2023-09-25
Neutrogena,Exfoliant,1154.46,3.9,19,Acne-prone,46-55,Titanium Dioxide,Benzoyl Peroxide,Oiliness,2024-08-01
CeraVe,Night Cream,1958.85,4.7,227,Oily,46-55,Kojic Acid,Lactic Acid,Hyperpigmentation,2024-09-30
The Ordinary,Face Mask,1055.31,2.8,15,Sensitive,56+,Peptides,Bakuchiol,Oiliness,2024-12-05
Tatcha,Toner,1096.23,4.3,169,Dry,26-35,Benzoyl Peroxide,Glycolic Acid,Dryness,2023-11-28
Skinceuticals,Sunscreen,2254.54,5.0,492,Combination,36-45,Salicylic Acid,Niacinamide,Pores,2025-09-15
Estee Lauder,Moisturizer,2651.55,3.1,277,Sensitive,18-25,Azelaic Acid,Jojoba Oil,Dryness,2024-01-28
CeraVe,Sunscreen,1450.58,4.0,36,Oily,18-25,Tea Tree Oil,Niacinamide,Uneven texture,2025-05-15
Estee Lauder,Toner,1412.23,4.2,82,Dry,56+,Salicylic Acid,Niacinamide,Hyperpigmentation,2024-08-07
Estee Lauder,Toner,1544.99,4.0,43,Oily,36-45,Alpha Arbutin,Tea Tree Oil,Hyperpigmentation,2025-08-22
Rare Beauty,Facial Oil,1399.69,4.6,33,Sensitive,26-35,Glycolic Acid,Alpha Arbutin,Uneven texture,2024-10-21
L'Oreal,Eye Cream,1623.89,4.0,58,Combination,18-25,Ceramides,Zinc Oxide,Dark spots,2025-02-27
Fenty Beauty,Exfoliant,2164.62,4.5,14,Acne-prone,56+,Niacinamide,Hyaluronic Acid,Sensitivity,2025-04-18
Clinique,Exfoliant,3367.8,5.0,27,Oily,36-45,Salicylic Acid,Alpha Arbutin,Pores,2023-12-21
Fresh,Eye Cream,2911.43,5.0,7,Normal,36-45,Zinc Oxide,Niacinamide,Sensitivity,2024-06-19
Olay,Night Cream,2501.54,4.2,25,Acne-prone,18-25,Peptides,Squalane,Hyperpigmentation,2024-01-29
Origins,Toner,795.79,4.1,11,Normal,46-55,Azelaic Acid,Zinc Oxide,Oiliness,2023-10-24
Aveeno,Moisturizer,1292.48,3.4,12,Dry,26-35,Retinol,Tea Tree Oil,Sensitivity,2024-08-08
Skinceuticals,Toner,988.52,4.3,87,Combination,26-35,Hyaluronic Acid,Vitamin C,Anti-aging,2023-10-24
Fenty Beauty,Moisturizer,1025.6,3.6,110,Normal,46-55,Lactic Acid,Kojic Acid,Uneven texture,2024-02-07
CeraVe,Toner,660.54,2.2,78,Dry,36-45,Zinc Oxide,Squalane,Dark spots,2024-06-19
CeraVe,Moisturizer,1740.71,4.5,59,Combination,26-35,Alpha Arbutin,Titanium Dioxide,Uneven texture,2023-09-29
Fenty Beauty,Cleanser,781.68,3.3,127,Dry,26-35,Glycolic Acid,Hyaluronic Acid,Acne,2024-07-07
La Roche-Posay,Eye Cream,2724.31,5.0,244,Dry,56+,Tea Tree Oil,Salicylic Acid,Acne,2025-08-17
Neutrogena,Toner,1047.99,4.2,23,Combination,46-55,Lactic Acid,Vitamin C,Acne,2024-03-18
Neutrogena,Serum,2341.64,5.0,77,Acne-prone,18-25,Glycolic Acid,Retinol,Redness,2024-11-30
Origins,Cleanser,765.52,4.0,77,Acne-prone,56+,Azelaic Acid,Benzoyl Peroxide,Pores,2024-03-13
La Roche-Posay,Toner,1299.05,4.7,60,Combination,46-55,Peptides,Squalane,Redness,2024-10-17
Glossier,Facial Oil,1133.72,4.6,18,Normal,46-55,Alpha Arbutin,Retinol,Redness,2024-03-07
L'Oreal,Toner,646.26,4.3,849,Acne-prone,56+,Squalane,Jojoba Oil,Dullness,2024-05-11
Rare Beauty,Eye Cream,2023.35,3.7,67,Oily,46-55,Ceramides,Bakuchiol,Pores,2025-08-27
CeraVe,Eye Cream,1726.02,4.8,17,Combination,46-55,Kojic Acid,Peptides,Anti-aging,2023-11-18
Clinique,Night Cream,2131.52,5.0,59,Combination,46-55,Bakuchiol,Squalane,Sensitivity,2025-07-27
Glossier,Face Mask,912.74,3.3,556,Combination,18-25,Jojoba Oil,Alpha Arbutin,Redness,2024-01-21
Skinceuticals,Facial Oil,2141.7,5.0,78,Acne-prone,18-25,Kojic Acid,Ceramides,Sensitivity,2023-11-09
Kiehl's,Face Mask,1512.19,5.0,73,Dry,36-45,Vitamin C,Niacinamide,Hyperpigmentation,2025-09-07
Neutrogena,Face Mask,543.13,4.0,29,Sensitive,46-55,Peptides,Azelaic Acid,Anti-aging,2025-07-06
Olay,Serum,2392.93,4.3,42,Combination,46-55,Ceramides,Hyaluronic Acid,Sensitivity,2024-08-05
CeraVe,Face Mask,1038.46,3.7,91,Oily,18-25,Azelaic Acid,Tea Tree Oil,Fine lines,2024-05-20
Youth to the People,Eye Cream,3068.3,5.0,96,Sensitive,26-35,Jojoba Oil,Titanium Dioxide,Fine lines,2025-05-28
CeraVe,Facial Oil,1956.26,3.9,130,Sensitive,36-45,Zinc Oxide,Peptides,Redness,2024-08-12
Fresh,Exfoliant,954.72,4.4,180,Acne-prone,56+,Bakuchiol,Salicylic Acid,Anti-aging,2024-06-27
Skinceuticals,Facial Oil,3538.89,5.0,22,Combination,46-55,Peptides,Hyaluronic Acid,Acne,2025-08-14
Rare Beauty,Facial Oil,2436.04,5.0,64,Normal,46-55,Azelaic Acid,Glycolic Acid,Pores,2024-01-31
CeraVe,Face Mask,792.73,4.1,56,Sensitive,26-35,Tea Tree Oil,Salicylic Acid,Uneven texture,2024-08-22
Aveeno,Serum,2447.51,5.0,64,Combination,18-25,Alpha Arbutin,Titanium Dioxide,Uneven texture,2023-12-12
Clinique,Cleanser,1024.27,4.0,2,Acne-prone,18-25,Bakuchiol,Titanium Dioxide,Redness,2023-11-05
Glossier,Night Cream,2106.29,4.7,4,Normal,18-25,Alpha Arbutin,Benzoyl Peroxide,Hyperpigmentation,2025-03-12
Clinique,Eye Cream,2297.42,4.8,26,Dry,36-45,Alpha Arbutin,Zinc Oxide,Pores,2023-11-17
La Roche-Posay,Serum,1509.49,3.1,12,Normal,56+,Alpha Arbutin,Ceramides,Anti-aging,2024-05-26
Paula's Choice,Moisturizer,1962.28,4.6,290,Acne-prone,46-55,Bakuchiol,Glycolic Acid,Redness,2025-06-14
Aveeno,Toner,858.02,4.2,35,Oily,46-55,Benzoyl Peroxide,Squalane,Redness,2024-07-01
Estee Lauder,Facial Oil,3689.09,5.0,16,Sensitive,18-25,Lactic Acid,Niacinamide,Hyperpigmentation,2024-03-21
Drunk Elephant,Eye Cream,3452.26,5.0,44,Dry,46-55,Glycolic Acid,Jojoba Oil,Fine lines,2025-07-17
Skinceuticals,Serum,3039.15,5.0,29,Normal,56+,Bakuchiol,Titanium Dioxide,Pores,2024-08-13
Skinceuticals,Eye Cream,3905.92,5.0,8,Sensitive,46-55,Retinol,Ceramides,Anti-aging,2024-06-19
Rare Beauty,Exfoliant,1097.98,2.3,16,Dry,56+,Zinc Oxide,Jojoba Oil,Acne,2025-07-01
Neutrogena,Toner,877.44,3.8,47,Combination,56+,Tea Tree Oil,Ceramides,Acne,2024-11-01
Neutrogena,Serum,1969.73,3.9,22,Normal,46-55,Azelaic Acid,Titanium Dioxide,Dark spots,2025-05-23
Fenty Beauty,Night Cream,1829.59,3.4,92,Normal,18-25,Tea Tree Oil,Titanium Dioxide,Anti-aging,2025-04-04
Fenty Beauty,Sunscreen,737.85,3.3,101,Normal,26-35,Ceramides,Lactic Acid,Uneven texture,2024-05-06
Aveeno,Night Cream,2459.41,4.7,70,Oily,26-35,Niacinamide,Azelaic Acid,Redness,2024-11-27
Skinceuticals,Exfoliant,3198.16,5.0,24,Dry,46-55,Alpha Arbutin,Titanium Dioxide,Anti-aging,2023-10-16
Kiehl's,Night Cream,3612.56,5.0,28,Sensitive,56+,Alpha Arbutin,Bakuchiol,Dullness,2024-02-04
Drunk Elephant,Serum,2681.62,5.0,297,Oily,18-25,Squalane,Peptides,Redness,2025-02-05
L'Oreal,Moisturizer,1886.59,5.0,34,Sensitive,36-45,Jojoba Oil,Lactic Acid,Redness,2025-05-31
Rare Beauty,Cleanser,680.27,3.8,27,Dry,18-25,Kojic Acid,Retinol,Dark spots,2024-10-13
Drunk Elephant,Toner,992.28,4.1,246,Dry,36-45,Lactic Acid,Benzoyl Peroxide,Sensitivity,2024-12-05
Youth to the People,Serum,1798.22,4.1,21,Acne-prone,26-35,Ceramides,Peptides,Uneven texture,2024-07-02
Tatcha,Serum,2040.0,4.4,2,Normal,36-45,Niacinamide,Retinol,Fine lines,2024-01-17
Youth to the People,Face Mask,856.82,3.9,34,Acne-prone,56+,Bakuchiol,Alpha Arbutin,Dryness,2024-12-30
Estee Lauder,Night Cream,3237.42,5.0,181,Acne-prone,46-55,Azelaic Acid,Bakuchiol,Dryness,2024-02-16
L'Oreal,Cleanser,499.88,5.0,22,Sensitive,26-35,Azelaic Acid,Glycolic Acid,Dark spots,2025-07-25
The Ordinary,Exfoliant,2194.25,5.0,15,Normal,18-25,Peptides,Niacinamide,Dark spots,2024-01-17
Neutrogena,Facial Oil,1227.65,3.5,60,Dry,18-25,Alpha Arbutin,Vitamin C,Dullness,2024-08-23
Paula's Choice,Eye Cream,2355.28,4.0,52,Acne-prone,46-55,Tea Tree Oil,Zinc Oxide,Dullness,2025-03-31
Skinceuticals,Moisturizer,3090.77,4.3,88,Dry,56+,Niacinamide,Zinc Oxide,Redness,2024-09-03
The Ordinary,Eye Cream,2135.75,5.0,88,Normal,46-55,Hyaluronic Acid,Glycolic Acid,Fine lines,2024-11-08
Tatcha,Facial Oil,2669.23,4.4,4,Combination,18-25,Lactic Acid,Squalane,Acne,2024-04-06
Fenty Beauty,Eye Cream,1571.35,4.8,14,Combination,36-45,Vitamin C,Alpha Arbutin,Oiliness,2024-04-07
The Ordinary,Eye Cream,2969.39,5.0,124,Sensitive,46-55,Bakuchiol,Hyaluronic Acid,Dark spots,2024-12-16
Rare Beauty,Night Cream,2183.03,4.1,47,Dry,36-45,Lactic Acid,Azelaic Acid,Acne,2024-02-26
Rare Beauty,Moisturizer,1266.5,4.3,13,Acne-prone,36-45,Kojic Acid,Hyaluronic Acid,Dryness,2023-12-16
Paula's Choice,Cleanser,937.9,4.4,14,Dry,46-55,Jojoba Oil,Lactic Acid,Fine lines,2024-06-15
The Ordinary,Cleanser,706.56,2.3,58,Acne-prone,56+,Vitamin C,Retinol,Uneven texture,2025-01-17
Tatcha,Sunscreen,2128.1,5.0,103,Acne-prone,26-35,Niacinamide,Kojic Acid,Sensitivity,2024-08-12
Clinique,Serum,2933.29,5.0,21,Normal,26-35,Benzoyl Peroxide,Lactic Acid,Acne,2025-04-14
Origins,Toner,1162.44,3.8,82,Dry,36-45,Titanium Dioxide,Retinol,Oiliness,2024-11-02
L'Oreal,Serum,1662.76,3.9,50,Normal,18-25,Salicylic Acid,Benzoyl Peroxide,Sensitivity,2024-08-12
CeraVe,Toner,1166.37,3.6,48,Oily,56+,Azelaic Acid,Tea Tree Oil,Sensitivity,2025-05-19
Fenty Beauty,Eye Cream,2809.17,3.3,146,Combination,56+,Bakuchiol,Alpha Arbutin,Anti-aging,2025-03-17
Drunk Elephant,Moisturizer,1887.28,3.8,412,Normal,18-25,Glycolic Acid,Niacinamide,Dullness,2024-07-25
Olay,Face Mask,1046.15,4.1,15,Acne-prone,26-35,Zinc Oxide,Hyaluronic Acid,Uneven texture,2024-06-08
Olay,Cleanser,762.14,2.6,108,Normal,26-35,Alpha Arbutin,Benzoyl Peroxide,Pores,2024-10-28
Estee Lauder,Night Cream,4814.39,5.0,20,Dry,26-35,Ceramides,Azelaic Acid,Acne,2024-11-17
Tatcha,Toner,1742.25,5.0,109,Normal,46-55,Jojoba Oil,Tea Tree Oil,Pores,2023-10-27
Neutrogena,Moisturizer,1473.34,4.0,118,Acne-prone,56+,Hyaluronic Acid,Zinc Oxide,Acne,2023-10-18
Origins,Exfoliant,1828.78,5.0,8,Acne-prone,18-25,Azelaic Acid,Vitamin C,Dullness,2024-06-03
La Roche-Posay,Toner,1121.5,3.0,3,Oily,26-35,Jojoba Oil,Titanium Dioxide,Fine lines,2025-03-03
The Ordinary,Exfoliant,1273.43,3.7,17,Acne-prone,56+,Alpha Arbutin,Retinol,Dullness,2025-05-30
Skinceuticals,Sunscreen,1301.31,5.0,26,Acne-prone,26-35,Retinol,Peptides,Dullness,2025-06-11
Kiehl's,Sunscreen,1773.47,3.7,558,Combination,46-55,Salicylic Acid,Ceramides,Anti-aging,2024-08-01
Origins,Moisturizer,1821.63,4.3,25,Oily,18-25,Salicylic Acid,Zinc Oxide,Sensitivity,2024-02-02
Olay,Toner,773.63,5.0,134,Dry,36-45,Vitamin C,Squalane,Uneven texture,2025-04-03
Kiehl's,Face Mask,685.04,4.0,75,Oily,36-45,Glycolic Acid,Vitamin C,Dullness,2024-01-21
Estee Lauder,Face Mask,908.04,3.8,101,Combination,36-45,Salicylic Acid,Alpha Arbutin,Sensitivity,2024-11-20
Fenty Beauty,Serum,2247.19,3.6,240,Oily,26-35,Azelaic Acid,Zinc Oxide,Hyperpigmentation,2023-09-25
Rare Beauty,Moisturizer,1954.13,4.1,157,Normal,46-55,Ceramides,Bakuchiol,Dullness,2024-03-02
Paula's Choice,Sunscreen,1373.55,3.7,61,Oily,26-35,Salicylic Acid,Squalane,Oiliness,2023-12-16
Fenty Beauty,Moisturizer,2058.94,3.7,61,Acne-prone,18-25,Benzoyl Peroxide,Salicylic Acid,Dullness,2025-09-10
Skinceuticals,Night Cream,4443.45,5.0,8,Dry,18-25,Lactic Acid,Salicylic Acid,Pores,2024-10-04
Aveeno,Exfoliant,1966.4,4.8,47,Oily,56+,Jojoba Oil,Ceramides,Sensitivity,2024-07-01
Paula's Choice,Cleanser,602.77,2.9,155,Acne-prone,46-55,Bakuchiol,Glycolic Acid,Anti-aging,2024-09-19
L'Oreal,Night Cream,2480.02,5.0,12,Sensitive,56+,Lactic Acid,Vitamin C,Fine lines,2023-12-13
Aveeno,Eye Cream,2144.19,3.5,69,Oily,46-55,Kojic Acid,Salicylic Acid,Dark spots,2025-04-27
Paula's Choice,Exfoliant,978.5,2.8,161,Combination,36-45,Azelaic Acid,Peptides,Dryness,2024-06-01
The Ordinary,Toner,1338.74,5.0,29,Acne-prone,56+,Bakuchiol,Tea Tree Oil,Anti-aging,2023-10-18
Youth to the People,Night Cream,2905.32,5.0,63,Combination,36-45,Retinol,Zinc Oxide,Dullness,2024-06-02
Tatcha,Toner,848.78,4.0,42,Dry,46-55,Glycolic Acid,Squalane,Uneven texture,2023-12-04
Aveeno,Face Mask,971.21,4.2,69,Oily,36-45,Benzoyl Peroxide,Lactic Acid,Anti-aging,2024-11-23
Fenty Beauty,Moisturizer,908.74,3.4,414,Combination,26-35,Hyaluronic Acid,Azelaic Acid,Redness,2024-11-04
Aveeno,Serum,2314.1,5.0,10,Sensitive,56+,Kojic Acid,Alpha Arbutin,Uneven texture,2023-11-22
Paula's Choice,Exfoliant,1316.48,3.5,1,Normal,56+,Jojoba Oil,Bakuchiol,Fine lines,2025-04-13
The Ordinary,Serum,2288.15,5.0,115,Sensitive,26-35,Bakuchiol,Alpha Arbutin,Anti-aging,2025-01-18
Drunk Elephant,Sunscreen,1995.2,4.1,16,Normal,26-35,Zinc Oxide,Kojic Acid,Dark spots,2024-04-09
Neutrogena,Face Mask,971.0,4.2,518,Sensitive,36-45,Hyaluronic Acid,Benzoyl Peroxide,Acne,2023-10-13
Skinceuticals,Facial Oil,2237.47,5.0,61,Acne-prone,46-55,Vitamin C,Glycolic Acid,Hyperpigmentation,2025-08-02
