Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,
La Roche-Posay,Eye Cream,2724.31,5,244,Dry,56+,Tea Tree Oil,Salicylic Acid,Acne,
Neutrogena,Toner,1047.99,4.2,23,Combination,46-55,Lactic Acid,Vitamin C,Acne,
Neutrogena,Serum,2341.64,5,77,Acne-prone,18-25,Glycolic Acid,Retinol,Redness,
Origins,Cleanser,765.52,4,77,Acne-prone,56+,Azelaic Acid,Benzoyl Peroxide,Pores,
La Roche-Posay,Toner,1299.05,4.7,60,Combination,46-55,Peptides,Squalane,Redness,
Glossier,Facial Oil,1133.72,4.6,18,Normal,46-55,Alpha Arbutin,Retinol,Redness,
L'Oreal,Toner,646.26,4.3,849,Acne-prone,56+,Squalane,Jojoba Oil,Dullness,
Rare Beauty,Eye Cream,2023.35,3.7,67,Oily,46-55,Ceramides,Bakuchiol,Pores,
CeraVe,Eye Cream,1726.02,4.8,17,Combination,46-55,Kojic Acid,Peptides,Anti-aging,
Clinique,Night Cream,2131.52,5,59,Combination,46-55,Bakuchiol,Squalane,Sensitivity,
Glossier,Face Mask,912.74,3.3,556,Combination,18-25,Jojoba Oil,Alpha Arbutin,Redness,
Skinceuticals,Facial Oil,2141.7,5,78,Acne-prone,18-25,Kojic Acid,Ceramides,Sensitivity,
Kiehl's,Face Mask,1512.19,5,73,Dry,36-45,Vitamin C,Niacinamide,Hyperpigmentation,
Neutrogena,Face Mask,543.13,4,29,Sensitive,46-55,Peptides,Azelaic Acid,Anti-aging,
Olay,Serum,2392.93,4.3,42,Combination,46-55,Ceramides,Hyaluronic Acid,Sensitivity,
CeraVe,Face Mask,1038.46,3.7,91,Oily,18-25,Azelaic Acid,Tea Tree Oil,Fine lines,
Youth to the People,Eye Cream,3068.3,5,96,Sensitive,26-35,Jojoba Oil,Titanium Dioxide,Fine lines,
CeraVe,Facial Oil,1956.26,3.9,130,Sensitive,36-45,Zinc Oxide,Peptides,Redness,
Fresh,Exfoliant,954.72,4.4,180,Acne-prone,56+,Bakuchiol,Salicylic Acid,Anti-aging,
Skinceuticals,Facial Oil,3538.89,5,22,Combination,46-55,Peptides,Hyaluronic Acid,Acne,
Rare Beauty,Facial Oil,2436.04,5,64,Normal,46-55,Azelaic Acid,Glycolic Acid,Pores,
CeraVe,Face Mask,792.73,4.1,56,Sensitive,26-35,Tea Tree Oil,Salicylic Acid,Uneven texture,
Aveeno,Serum,2447.51,5,64,Combination,18-25,Alpha Arbutin,Titanium Dioxide,Uneven texture,
Clinique,Cleanser,1024.27,4,2,Acne-prone,18-25,Bakuchiol,Titanium Dioxide,Redness,
Glossier,Night Cream,2106.29,4.7,4,Normal,18-25,Alpha Arbutin,Benzoyl Peroxide,Hyperpigmentation,
Clinique,Eye Cream,2297.42,4.8,26,Dry,36-45,Alpha Arbutin,Zinc Oxide,Pores,
La Roche-Posay,Serum,1509.49,3.1,12,Normal,56+,Alpha Arbutin,Ceramides,Anti-aging,
Paula's Choice,Moisturizer,1962.28,4.6,290,Acne-prone,46-55,Bakuchiol,Glycolic Acid,Redness,
Aveeno,Toner,858.02,4.2,35,Oily,46-55,Benzoyl Peroxide,Squalane,Redness,
Estee Lauder,Facial Oil,3689.09,5,16,Sensitive,18-25,Lactic Acid,Niacinamide,Hyperpigmentation,
Drunk Elephant,Eye Cream,3452.26,5,44,Dry,46-55,Glycolic Acid,Jojoba Oil,Fine lines,
Skinceuticals,Serum,3039.15,5,29,Normal,56+,Bakuchiol,Titanium Dioxide,Pores,
Skinceuticals,Eye Cream,3905.92,5,8,Sensitive,46-55,Retinol,Ceramides,Anti-aging,
Rare Beauty,Exfoliant,1097.98,2.3,16,Dry,56+,Zinc Oxide,Jojoba Oil,Acne,
Neutrogena,Toner,877.44,3.8,47,Combination,56+,Tea Tree Oil,Ceramides,Acne,
Neutrogena,Serum,1969.73,3.9,22,Normal,46-55,Azelaic Acid,Titanium Dioxide,Dark spots,
Fenty Beauty,Night Cream,1829.59,3.4,92,Normal,18-25,Tea Tree Oil,Titanium Dioxide,Anti-aging,
Fenty Beauty,Sunscreen,737.85,3.3,101,Normal,26-35,Ceramides,Lactic Acid,Uneven texture,
Aveeno,Night Cream,2459.41,4.7,70,Oily,26-35,Niacinamide,Azelaic Acid,Redness,
Skinceuticals,Exfoliant,3198.16,5,24,Dry,46-55,Alpha Arbutin,Titanium Dioxide,Anti-aging,
Kiehl's,Night Cream,3612.56,5,28,Sensitive,56+,Alpha Arbutin,Bakuchiol,Dullness,
Drunk Elephant,Serum,2681.62,5,297,Oily,18-25,Squalane,Peptides,Redness,
L'Oreal,Moisturizer,1886.59,5,34,Sensitive,36-45,Jojoba Oil,Lactic Acid,Redness,
Rare Beauty,Cleanser,680.27,3.8,27,Dry,18-25,Kojic Acid,Retinol,Dark spots,
Drunk Elephant,Toner,992.28,4.1,246,Dry,36-45,Lactic Acid,Benzoyl Peroxide,Sensitivity,
Youth to the People,Serum,1798.22,4.1,21,Acne-prone,26-35,Ceramides,Peptides,Uneven texture,
Tatcha,Serum,2040,4.4,2,Normal,36-45,Niacinamide,Retinol,Fine lines,
Youth to the People,Face Mask,856.82,3.9,34,Acne-prone,56+,Bakuchiol,Alpha Arbutin,Dryness,
Estee Lauder,Night Cream,3237.42,5,181,Acne-prone,46-55,Azelaic Acid,Bakuchiol,Dryness,
L'Oreal,Cleanser,499.88,5,22,Sensitive,26-35,Azelaic Acid,Glycolic Acid,Dark spots,
The Ordinary,Exfoliant,2194.25,5,15,Normal,18-25,Peptides,Niacinamide,Dark spots,
Neutrogena,Facial Oil,1227.65,3.5,60,Dry,18-25,Alpha Arbutin,Vitamin C,Dullness,
Paula's Choice,Eye Cream,2355.28,4,52,Acne-prone,46-55,Tea Tree Oil,Zinc Oxide,Dullness,
Skinceuticals,Moisturizer,3090.77,4.3,88,Dry,56+,Niacinamide,Zinc Oxide,Redness,
The Ordinary,Eye Cream,2135.75,5,88,Normal,46-55,Hyaluronic Acid,Glycolic Acid,Fine lines,
Tatcha,Facial Oil,2669.23,4.4,4,Combination,18-25,Lactic Acid,Squalane,Acne,
Fenty Beauty,Eye Cream,1571.35,4.8,14,Combination,36-45,Vitamin C,Alpha Arbutin,Oiliness,
The Ordinary,Eye Cream,2969.39,5,124,Sensitive,46-55,Bakuchiol,Hyaluronic Acid,Dark spots,
Rare Beauty,Night Cream,2183.03,4.1,47,Dry,36-45,Lactic Acid,Azelaic Acid,Acne,
Rare Beauty,Moisturizer,1266.5,4.3,13,Acne-prone,36-45,Kojic Acid,Hyaluronic Acid,Dryness,
Paula's Choice,Cleanser,937.9,4.4,14,Dry,46-55,Jojoba Oil,Lactic Acid,Fine lines,
The Ordinary,Cleanser,706.56,2.3,58,Acne-prone,56+,Vitamin C,Retinol,Uneven texture,
Tatcha,Sunscreen,2128.1,5,103,Acne-prone,26-35,Niacinamide,Kojic Acid,Sensitivity,
Clinique,Serum,2933.29,5,21,Normal,26-35,Benzoyl Peroxide,Lactic Acid,Acne,
Origins,Toner,1162.44,3.8,82,Dry,36-45,Titanium Dioxide,Retinol,Oiliness,
L'Oreal,Serum,1662.76,3.9,50,Normal,18-25,Salicylic Acid,Benzoyl Peroxide,Sensitivity,
CeraVe,Toner,1166.37,3.6,48,Oily,56+,Azelaic Acid,Tea Tree Oil,Sensitivity,
Fenty Beauty,Eye Cream,2809.17,3.3,146,Combination,56+,Bakuchiol,Alpha Arbutin,Anti-aging,
Drunk Elephant,Moisturizer,1887.28,3.8,412,Normal,18-25,Glycolic Acid,Niacinamide,Dullness,
Olay,Face Mask,1046.15,4.1,15,Acne-prone,26-35,Zinc Oxide,Hyaluronic Acid,Uneven texture,
Olay,Cleanser,762.14,2.6,108,Normal,26-35,Alpha Arbutin,Benzoyl Peroxide,Pores,
Estee Lauder,Night Cream,4814.39,5,20,Dry,26-35,Ceramides,Azelaic Acid,Acne,
Tatcha,Toner,1742.25,5,109,Normal,46-55,Jojoba Oil,Tea Tree Oil,Pores,
Neutrogena,Moisturizer,1473.34,4,118,Acne-prone,56+,Hyaluronic Acid,Zinc Oxide,Acne,
Origins,Exfoliant,1828.78,5,8,Acne-prone,18-25,Azelaic Acid,Vitamin C,Dullness,
La Roche-Posay,Toner,1121.5,3,3,Oily,26-35,Jojoba Oil,Titanium Dioxide,Fine lines,
The Ordinary,Exfoliant,1273.43,3.7,17,Acne-prone,56+,Alpha Arbutin,Retinol,Dullness,
Skinceuticals,Sunscreen,1301.31,5,26,Acne-prone,26-35,Retinol,Peptides,Dullness,
Kiehl's,Sunscreen,1773.47,3.7,558,Combination,46-55,Salicylic Acid,Ceramides,Anti-aging,
Origins,Moisturizer,1821.63,4.3,25,Oily,18-25,Salicylic Acid,Zinc Oxide,Sensitivity,
Olay,Toner,773.63,5,134,Dry,36-45,Vitamin C,Squalane,Uneven texture,
Kiehl's,Face Mask,685.04,4,75,Oily,36-45,Glycolic Acid,Vitamin C,Dullness,
Estee Lauder,Face Mask,908.04,3.8,101,Combination,36-45,Salicylic Acid,Alpha Arbutin,Sensitivity,
Fenty Beauty,Serum,2247.19,3.6,240,Oily,26-35,Azelaic Acid,Zinc Oxide,Hyperpigmentation,
Rare Beauty,Moisturizer,1954.13,4.1,157,Normal,46-55,Ceramides,Bakuchiol,Dullness,
Paula's Choice,Sunscreen,1373.55,3.7,61,Oily,26-35,Salicylic Acid,Squalane,Oiliness,
Fenty Beauty,Moisturizer,2058.94,3.7,61,Acne-prone,18-25,Benzoyl Peroxide,Salicylic Acid,Dullness,
Skinceuticals,Night Cream,4443.45,5,8,Dry,18-25,Lactic Acid,Salicylic Acid,Pores,
Aveeno,Exfoliant,1966.4,4.8,47,Oily,56+,Jojoba Oil,Ceramides,Sensitivity,
Paula's Choice,Cleanser,602.77,2.9,155,Acne-prone,46-55,Bakuchiol,Glycolic Acid,Anti-aging,
L'Oreal,Night Cream,2480.02,5,12,Sensitive,56+,Lactic Acid,Vitamin C,Fine lines,
Aveeno,Eye Cream,2144.19,3.5,69,Oily,46-55,Kojic Acid,Salicylic Acid,Dark spots,
Paula's Choice,Exfoliant,978.5,2.8,161,Combination,36-45,Azelaic Acid,Peptides,Dryness,
The Ordinary,Toner,1338.74,5,29,Acne-prone,56+,Bakuchiol,Tea Tree Oil,Anti-aging,
Youth to the People,Night Cream,2905.32,5,63,Combination,36-45,Retinol,Zinc Oxide,Dullness,
Tatcha,Toner,848.78,4,42,Dry,46-55,Glycolic Acid,Squalane,Uneven texture,
Aveeno,Face Mask,971.21,4.2,69,Oily,36-45,Benzoyl Peroxide,Lactic Acid,Anti-aging,
Fenty Beauty,Moisturizer,908.74,3.4,414,Combination,26-35,Hyaluronic Acid,Azelaic Acid,Redness,
Aveeno,Serum,2314.1,5,10,Sensitive,56+,Kojic Acid,Alpha Arbutin,Uneven texture,
Paula's Choice,Exfoliant,1316.48,3.5,1,Normal,56+,Jojoba Oil,Bakuchiol,Fine lines,
The Ordinary,Serum,2288.15,5,115,Sensitive,26-35,Bakuchiol,Alpha Arbutin,Anti-aging,
Drunk Elephant,Sunscreen,1995.2,4.1,16,Normal,26-35,Zinc Oxide,Kojic Acid,Dark spots,
Neutrogena,Face Mask,971,4.2,518,Sensitive,36-45,Hyaluronic Acid,Benzoyl Peroxide,Acne,
Skinceuticals,Facial Oil,2237.47,5,61,Acne-prone,46-55,Vitamin C,Glycolic Acid,Hyperpigmentation,
Rare Beauty,Cleanser,628.51,3.8,39,Oily,46-55,Benzoyl Peroxide,Squalane,Dark spots,
L'Oreal,Eye Cream,1721.09,3.2,166,Combination,18-25,Peptides,Titanium Dioxide,Dryness,
Aveeno,Face Mask,529.23,2.8,27,Acne-prone,26-35,Benzoyl Peroxide,Azelaic Acid,Dark spots,
Paula's Choice,Cleanser,1087.63,4.5,30,Normal,46-55,Ceramides,Kojic Acid,Dryness,
Fenty Beauty,Toner,863.42,3.5,63,Dry,36-45,Niacinamide,Retinol,Dark spots,
Rare Beauty,Night Cream,2005.82,4.4,617,Acne-prone,56+,Retinol,Alpha Arbutin,Fine lines,
Neutrogena,Facial Oil,2423.83,4.5,771,Acne-prone,36-45,Zinc Oxide,Tea Tree Oil,Dullness,
Rare Beauty,Cleanser,853.15,4.4,11,Dry,18-25,Titanium Dioxide,Peptides,Uneven texture,
CeraVe,Sunscreen,988.04,3.9,217,Acne-prone,46-55,Zinc Oxide,Bakuchiol,Hyperpigmentation,
Kiehl's,Eye Cream,4051.43,5,16,Combination,26-35,Vitamin C,Bakuchiol,Anti-aging,
The Ordinary,Serum,2131.31,4.1,31,Acne-prone,46-55,Hyaluronic Acid,Niacinamide,Acne,
Glossier,Moisturizer,1475.5,4,39,Dry,26-35,Glycolic Acid,Titanium Dioxide,Uneven texture,
Estee Lauder,Eye Cream,3888.52,5,6,Dry,56+,Lactic Acid,Azelaic Acid,Dullness,
Neutrogena,Face Mask,760.42,4.3,18,Sensitive,46-55,Peptides,Glycolic Acid,Anti-aging,
L'Oreal,Sunscreen,672.52,3.6,2,Combination,56+,Salicylic Acid,Benzoyl Peroxide,Fine lines,
Youth to the People,Night Cream,1854.53,4.3,41,Dry,26-35,Zinc Oxide,Peptides,Pores,
Paula's Choice,Moisturizer,1649.29,1.6,78,Oily,18-25,Ceramides,Kojic Acid,Fine lines,
La Roche-Posay,Serum,2410.67,4.7,51,Normal,18-25,Kojic Acid,Jojoba Oil,Acne,
Youth to the People,Night Cream,1444.43,4.3,194,Oily,56+,Retinol,Kojic Acid,Hyperpigmentation,
CeraVe,Sunscreen,1234.83,3,88,Normal,46-55,Peptides,Niacinamide,Fine lines,
Clinique,Exfoliant,2624.97,5,15,Acne-prone,18-25,Titanium Dioxide,Kojic Acid,Pores,
Glossier,Sunscreen,999.56,3.2,32,Combination,26-35,Azelaic Acid,Niacinamide,Uneven texture,
Rare Beauty,Toner,712.43,2.7,11,Dry,18-25,Peptides,Alpha Arbutin,Dark spots,
Tatcha,Facial Oil,1940.37,3.7,22,Dry,46-55,Lactic Acid,Bakuchiol,Acne,
CeraVe,Cleanser,1228.66,3.3,121,Combination,26-35,Salicylic Acid,Hyaluronic Acid,Dryness,
Tatcha,Sunscreen,2321.38,4.6,42,Acne-prone,46-55,Squalane,Ceramides,Redness,
La Roche-Posay,Exfoliant,922.94,3.4,47,Normal,18-25,Alpha Arbutin,Bakuchiol,Redness,
Paula's Choice,Night Cream,2441.81,4.7,30,Dry,36-45,Zinc Oxide,Azelaic Acid,Pores,
Clinique,Sunscreen,2314.29,4.4,727,Sensitive,18-25,Glycolic Acid,Alpha Arbutin,Oiliness,
Origins,Moisturizer,2012.57,4.1,134,Oily,46-55,Bakuchiol,Peptides,Acne,
Neutrogena,Eye Cream,2385.3,3.2,191,Dry,26-35,Salicylic Acid,Kojic Acid,Dullness,
Youth to the People,Toner,561.92,3.6,1359,Dry,56+,Benzoyl Peroxide,Salicylic Acid,Uneven texture,
Olay,Facial Oil,1550.58,4.4,26,Oily,26-35,Benzoyl Peroxide,Niacinamide,Anti-aging,
Clinique,Sunscreen,2401.13,5,41,Acne-prone,56+,Glycolic Acid,Zinc Oxide,Dryness,
Fenty Beauty,Cleanser,1107.52,3.1,71,Oily,56+,Zinc Oxide,Squalane,Fine lines,
Glossier,Exfoliant,2035.49,5,66,Normal,18-25,Alpha Arbutin,Niacinamide,Anti-aging,
Glossier,Sunscreen,1306.98,4,55,Acne-prone,26-35,Bakuchiol,Zinc Oxide,Fine lines,
Origins,Face Mask,496.76,4.3,337,Dry,26-35,Jojoba Oil,Salicylic Acid,Dullness,
Kiehl's,Moisturizer,1269.91,4.5,33,Oily,26-35,Niacinamide,Alpha Arbutin,Oiliness,
Neutrogena,Face Mask,895.02,4.5,70,Dry,18-25,Jojoba Oil,Benzoyl Peroxide,Anti-aging,
Origins,Moisturizer,1151.45,4,88,Sensitive,36-45,Squalane,Bakuchiol,Anti-aging,
Estee Lauder,Eye Cream,2396.41,4.8,69,Normal,56+,Squalane,Tea Tree Oil,Anti-aging,
Rare Beauty,Exfoliant,1126.56,4.3,44,Oily,36-45,Kojic Acid,Peptides,Anti-aging,
La Roche-Posay,Toner,841.35,4.6,142,Acne-prone,36-45,Kojic Acid,Hyaluronic Acid,Uneven texture,
Fenty Beauty,Toner,1222.49,3.9,10,Normal,18-25,Ceramides,Niacinamide,Oiliness,
Youth to the People,Moisturizer,2109.62,4.1,118,Sensitive,36-45,Jojoba Oil,Benzoyl Peroxide,Fine lines,
Skinceuticals,Sunscreen,2141.7,4.9,15,Normal,26-35,Salicylic Acid,Alpha Arbutin,Anti-aging,
Clinique,Facial Oil,2979.08,5,5,Dry,56+,Peptides,Lactic Acid,Hyperpigmentation,
Paula's Choice,Cleanser,544.43,2.7,38,Oily,36-45,Azelaic Acid,Tea Tree Oil,Dryness,
Origins,Cleanser,692.3,2.8,27,Oily,36-45,Niacinamide,Alpha Arbutin,Sensitivity,
Origins,Exfoliant,2185.84,4.3,138,Combination,46-55,Salicylic Acid,Vitamin C,Redness,
Youth to the People,Serum,1395.18,3.8,7,Acne-prone,46-55,Peptides,Lactic Acid,Dullness,
Fresh,Toner,1284.8,4.3,10,Oily,56+,Squalane,Salicylic Acid,Anti-aging,
L'Oreal,Cleanser,1149.59,4.3,35,Sensitive,26-35,Titanium Dioxide,Squalane,Fine lines,
Glossier,Facial Oil,2576.9,4.4,42,Normal,56+,Alpha Arbutin,Tea Tree Oil,Anti-aging,
Glossier,Facial Oil,2449.81,4.1,9,Acne-prone,56+,Glycolic Acid,Titanium Dioxide,Anti-aging,
Glossier,Facial Oil,2190.27,3.8,71,Acne-prone,46-55,Retinol,Glycolic Acid,Oiliness,
Kiehl's,Facial Oil,2322.14,4.1,33,Sensitive,46-55,Niacinamide,Jojoba Oil,Redness,
Aveeno,Cleanser,601.27,3.5,344,Normal,26-35,Ceramides,Kojic Acid,Pores,
Clinique,Serum,3723.27,5,106,Combination,26-35,Jojoba Oil,Salicylic Acid,Hyperpigmentation,
Glossier,Face Mask,831.97,3.8,122,Oily,18-25,Zinc Oxide,Retinol,Oiliness,
L'Oreal,Eye Cream,2075.26,4.8,69,Acne-prone,56+,Glycolic Acid,Benzoyl Peroxide,Redness,
Rare Beauty,Exfoliant,2220.76,3.8,109,Sensitive,46-55,Salicylic Acid,Lactic Acid,Redness,
Fenty Beauty,Toner,1373.77,4.6,15,Sensitive,26-35,Vitamin C,Glycolic Acid,Dullness,
Tatcha,Night Cream,3882.76,5,6,Oily,26-35,Peptides,Tea Tree Oil,Anti-aging,
Drunk Elephant,Sunscreen,1968.22,4.7,58,Normal,26-35,Tea Tree Oil,Lactic Acid,Dark spots,
Kiehl's,Exfoliant,1988.33,4.4,32,Acne-prone,18-25,Ceramides,Benzoyl Peroxide,Sensitivity,
Youth to the People,Moisturizer,1660.65,4.5,377,Acne-prone,36-45,Alpha Arbutin,Ceramides,Dryness,
Skinceuticals,Night Cream,4635.08,5,52,Acne-prone,56+,Jojoba Oil,Glycolic Acid,Redness,
Origins,Toner,1409.59,4,64,Combination,46-55,Tea Tree Oil,Titanium Dioxide,Anti-aging,
Youth to the People,Sunscreen,1529.91,5,136,Oily,36-45,Bakuchiol,Vitamin C,Uneven texture,
L'Oreal,Cleanser,588.34,3.1,3,Dry,26-35,Peptides,Salicylic Acid,Dark spots,
La Roche-Posay,Sunscreen,906.76,3.8,377,Dry,56+,Bakuchiol,Niacinamide,Oiliness,
Youth to the People,Sunscreen,1500.93,3.6,99,Sensitive,36-45,Benzoyl Peroxide,Titanium Dioxide,Dullness,
Rare Beauty,Toner,1439.69,4.4,85,Oily,26-35,Alpha Arbutin,Glycolic Acid,Anti-aging,
Fresh,Toner,745.85,3.2,361,Normal,18-25,Vitamin C,Alpha Arbutin,Acne,
Clinique,Exfoliant,2029.39,4.8,13,Oily,56+,Ceramides,Benzoyl Peroxide,Dryness,
Youth to the People,Facial Oil,1611.05,4.3,29,Dry,18-25,Ceramides,Kojic Acid,Dark spots,
Origins,Sunscreen,929.16,3.1,265,Combination,26-35,Squalane,Jojoba Oil,Hyperpigmentation,
L'Oreal,Night Cream,2009.03,5,133,Acne-prone,26-35,Alpha Arbutin,Squalane,Acne,
Olay,Facial Oil,1991.18,4.2,161,Oily,46-55,Ceramides,Hyaluronic Acid,Pores,
CeraVe,Face Mask,782.7,4,16,Combination,26-35,Alpha Arbutin,Benzoyl Peroxide,Dryness,
Skinceuticals,Face Mask,1063.48,4.2,408,Combination,18-25,Benzoyl Peroxide,Ceramides,Dark spots,
L'Oreal,Sunscreen,1185.63,3,32,Normal,56+,Alpha Arbutin,Bakuchiol,Sensitivity,
The Ordinary,Eye Cream,1890.91,4.6,58,Dry,26-35,Vitamin C,Ceramides,Uneven texture,
Fresh,Cleanser,716.34,3.1,363,Sensitive,26-35,Niacinamide,Squalane,Hyperpigmentation,
Tatcha,Exfoliant,1685.89,3.7,118,Oily,46-55,Niacinamide,Titanium Dioxide,Anti-aging,
Origins,Face Mask,952.27,3.4,7,Dry,56+,Glycolic Acid,Retinol,Anti-aging,
Rare Beauty,Cleanser,940.81,5,68,Dry,18-25,Bakuchiol,Zinc Oxide,Acne,
La Roche-Posay,Moisturizer,1760.82,4.7,35,Normal,26-35,Tea Tree Oil,Vitamin C,Acne,
Youth to the People,Sunscreen,1610.11,3.7,58,Dry,56+,Salicylic Acid,Niacinamide,Dryness,
Drunk Elephant,Eye Cream,3039.83,5,13,Dry,26-35,Titanium Dioxide,Glycolic Acid,Dryness,
Olay,Cleanser,545.82,4,257,Acne-prone,18-25,Zinc Oxide,Lactic Acid,Dullness,
Youth to the People,Moisturizer,1262.87,4.9,38,Acne-prone,18-25,Squalane,Alpha Arbutin,Dullness,
Glossier,Moisturizer,894,4,74,Acne-prone,36-45,Salicylic Acid,Zinc Oxide,Sensitivity,
Youth to the People,Moisturizer,912.81,3.4,14,Acne-prone,46-55,Jojoba Oil,Salicylic Acid,Sensitivity,
Fresh,Cleanser,1028.84,4.2,147,Acne-prone,56+,Niacinamide,Bakuchiol,Oiliness,
Skinceuticals,Eye Cream,4837.4,5,742,Dry,46-55,Retinol,Hyaluronic Acid,Sensitivity,
Aveeno,Serum,1941.16,3.7,4,Combination,26-35,Alpha Arbutin,Titanium Dioxide,Acne,
L'Oreal,Facial Oil,2048.54,5,260,Acne-prone,36-45,Kojic Acid,Hyaluronic Acid,Sensitivity,
Clinique,Moisturizer,2002.53,3.8,6,Sensitive,18-25,Retinol,Kojic Acid,Dark spots,
Youth to the People,Cleanser,613.35,3.7,168,Oily,18-25,Benzoyl Peroxide,Squalane,Uneven texture,
Neutrogena,Facial Oil,1300.94,5,33,Sensitive,46-55,Titanium Dioxide,Alpha Arbutin,Fine lines,
Glossier,Face Mask,760.31,4.2,10,Normal,56+,Vitamin C,Salicylic Acid,Redness,
Clinique,Facial Oil,3537.5,4.4,27,Sensitive,18-25,Niacinamide,Squalane,Oiliness,
Estee Lauder,Toner,925.5,4.3,363,Dry,56+,Glycolic Acid,Vitamin C,Acne,
Paula's Choice,Night Cream,2546.98,4.1,37,Dry,56+,Tea Tree Oil,Peptides,Redness,
L'Oreal,Serum,1288.92,3.4,31,Sensitive,26-35,Kojic Acid,Lactic Acid,Dark spots,
Neutrogena,Toner,586.64,4.1,20,Combination,26-35,Vitamin C,Jojoba Oil,Hyperpigmentation,
La Roche-Posay,Eye Cream,1463.58,4.9,16,Dry,46-55,Niacinamide,Titanium Dioxide,Dark spots,
Origins,Face Mask,1068,4.5,45,Dry,56+,Lactic Acid,Azelaic Acid,Pores,
Skinceuticals,Night Cream,5053.04,5,126,Oily,18-25,Salicylic Acid,Benzoyl Peroxide,Uneven texture,
Olay,Exfoliant,1144.85,4.9,18,Dry,18-25,Tea Tree Oil,Bakuchiol,Redness,
Drunk Elephant,Cleanser,1509.78,4.7,190,Dry,18-25,Alpha Arbutin,Titanium Dioxide,Uneven texture,
Tatcha,Sunscreen,2337.97,4.8,168,Combination,26-35,Titanium Dioxide,Glycolic Acid,Redness,
Fenty Beauty,Exfoliant,1525.16,4.7,29,Combination,18-25,Niacinamide,Salicylic Acid,Pores,
L'Oreal,Night Cream,3066.47,5,30,Combination,36-45,Zinc Oxide,Squalane,Sensitivity,
L'Oreal,Moisturizer,1013.18,4.1,80,Oily,26-35,Titanium Dioxide,Benzoyl Peroxide,Uneven texture,
Olay,Night Cream,3322.16,5,22,Combination,36-45,Vitamin C,Lactic Acid,Oiliness,
Drunk Elephant,Sunscreen,2141.3,3.8,44,Combination,46-55,Retinol,Squalane,Anti-aging,
Rare Beauty,Serum,2823.06,5,23,Sensitive,18-25,Hyaluronic Acid,Squalane,Dullness,
Origins,Eye Cream,1690.07,5,42,Dry,18-25,Retinol,Jojoba Oil,Acne,
The Ordinary,Sunscreen,769.81,4.5,339,Combination,18-25,Titanium Dioxide,Azelaic Acid,Uneven texture,
Fenty Beauty,Serum,2283.84,5,44,Sensitive,18-25,Retinol,Bakuchiol,Sensitivity,
Neutrogena,Exfoliant,2176.64,4.2,79,Acne-prone,26-35,Ceramides,Azelaic Acid,Dark spots,
The Ordinary,Serum,1647.76,4.5,18,Oily,18-25,Glycolic Acid,Tea Tree Oil,Uneven texture,
Kiehl's,Eye Cream,3517.39,5,4,Oily,56+,Tea Tree Oil,Benzoyl Peroxide,Anti-aging,
Aveeno,Cleanser,775.59,2.5,150,Sensitive,26-35,Kojic Acid,Ceramides,Fine lines,
Youth to the People,Sunscreen,976.52,4.1,19,Acne-prone,56+,Peptides,Bakuchiol,Dullness,
Fresh,Facial Oil,1887.15,3.2,5,Sensitive,26-35,Ceramides,Glycolic Acid,Dryness,
Fresh,Facial Oil,2555.09,4.8,37,Sensitive,56+,Jojoba Oil,Vitamin C,Uneven texture,
CeraVe,Night Cream,2564.56,5,17,Combination,36-45,Jojoba Oil,Titanium Dioxide,Oiliness,
Clinique,Sunscreen,1305.73,3.8,75,Sensitive,46-55,Benzoyl Peroxide,Ceramides,Sensitivity,
Youth to the People,Facial Oil,1437.11,4.2,129,Combination,46-55,Bakuchiol,Niacinamide,Fine lines,
Neutrogena,Eye Cream,2354.35,5,41,Combination,46-55,Hyaluronic Acid,Kojic Acid,Hyperpigmentation,
Youth to the People,Facial Oil,1777.88,4,69,Sensitive,36-45,Squalane,Peptides,Anti-aging,
Aveeno,Serum,1939.76,3.9,54,Acne-prone,46-55,Kojic Acid,Jojoba Oil,Sensitivity,
CeraVe,Sunscreen,1201.54,5,5,Sensitive,46-55,Niacinamide,Benzoyl Peroxide,Oiliness,
Skinceuticals,Face Mask,979.65,2.9,49,Normal,36-45,Lactic Acid,Jojoba Oil,Hyperpigmentation,
Fenty Beauty,Eye Cream,2735.13,5,94,Dry,26-35,Lactic Acid,Peptides,Hyperpigmentation,
Skinceuticals,Exfoliant,1852.43,2.6,105,Combination,36-45,Hyaluronic Acid,Kojic Acid,Anti-aging,
Skinceuticals,Face Mask,1273.64,4.8,40,Acne-prone,56+,Zinc Oxide,Alpha Arbutin,Dullness,
Clinique,Moisturizer,2388.07,4.5,371,Normal,56+,Titanium Dioxide,Ceramides,Uneven texture,
Origins,Moisturizer,1116.35,4,32,Dry,18-25,Salicylic Acid,Azelaic Acid,Dullness,
Neutrogena,Moisturizer,1607.19,3.8,78,Normal,26-35,Retinol,Salicylic Acid,Redness,
Skinceuticals,Toner,1120.95,3.4,207,Normal,18-25,Ceramides,Benzoyl Peroxide,Fine lines,
Clinique,Facial Oil,2543.47,5,3176,Combination,26-35,Titanium Dioxide,Squalane,Pores,
Kiehl's,Night Cream,2751.53,5,14,Combination,36-45,Vitamin C,Tea Tree Oil,Dryness,
